no,업체명,제품명,주성분,첨가제,허가일,제조/수입,모양,장축,단축,수입제조국,주성분영문
0,(주)퍼슨,"1. 포비딘인후스프레이액(포비돈요오드)(바닐라향), 2. 포비딘인후스프레이액(포비돈요오드)(청포도향)",포비돈 요오드,"프로필렌글리콜,청포도71334,자일리톨,유칼립톨,효소처리스테비아,L-멘톨,요오드화칼륨,바닐라향 HF-63374,에탄올,농글리세린,정제수",2015-10-16,제조,,,,,Povidone Iodine
1,(주)그린제약,"1.나잘스프레이오리지날(옥시메타졸린염산염)(수출용)(수출명 : Nasal Spray Original)

2.나잘스프레이엑스트라모이스쳐라이징(옥시메타졸린염산염)(수출용)(수출명 : Nasal Spray Extra Moisturizing)",옥시메타졸린염산염,"벤잘코늄염화물,에데트산나트륨수화물,정제수,농글리세린",2014-10-18,제조,,,,,Oxymetazoline Hydrochloride
2,비오신코리아(주),1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),아셀렌산나트륨오수화물,"염화나트륨,희석염산,정제수",2005-12-27,수입,,,,독일,Sodium Selenite Pentahydrate
3,(주)한국비엠아이,1.셀레뉴원오랄액(아셀렌산나트륨오수화물) 2.셀큐민185오랄액(아셀렌산나트륨오수화물),아셀렌산나트륨오수화물,"심황색소,인산이수소나트륨이수화물,인산수소나트륨수화물,염화나트륨,정제수,D-소르비톨",2017-03-31,제조,,,,,Sodium Selenite Pentahydrate
4,해태에이치티비(주),1.영진구론산바몬드액2.영진구론산바몬드스파클링액,글루쿠로노락톤/오로트산수화물/카페인무수물/니코틴산아미드/리보플라빈/피리독신염산염,"시트르산수화물,이성화당,염화나트륨,백당,파인애플엣센스에스,시트르산나트륨수화물,L-멘톨,효소처리스테비아,오렌지엣센스티엠,그레이프엣센스에프-723,꿀,에탄올,DL-사과산,정제수,이산화탄소",1992-06-27,제조,,,,,Glucuronolactone/Orotic Acid Hydrate/Anhydrous Caffeine/Nicotinamide/Riboflavin/Pyridoxine Hydrochloride
5,큐앤큐팜(주),1.큐앤큐포비돈거즈볼-중(포비돈요오드)2.큐앤큐포비돈거즈볼-대(포비돈요오드),포비돈요오드,"수산화나트륨,폴리옥시에틸렌옥틸페닐에테르,인산수소나트륨,멸균거즈볼,시트르산,농글리세린,정제수",2000-03-28,제조,,,,,Povidone Iodine
6,주식회사 더유제약,5-엠씨크림(리도카인),리도카인,"트롤아민,소르빈산칼륨,폴리소르베이트60,카보머,스테아릴알코올,파라옥시벤조산메틸,미리스트산이소프로필,정제수",2019-07-02,제조,,,,,Lidocaine
7,동아제약(주),가그린목액,벤지다민염산염/세틸피리디늄염화물수화물,"시트르산수화물,사카린나트륨수화물,조합향료(민트향S-9623),소르빈산칼륨,조합향료(페퍼민트 후레이바 ZKF96023),농글리세린,에탄올,폴리옥실40경화피마자유,정제수",2018-06-15,제조,,,,,Benzydamine Hydrochloride/Cetylpyridinium Chloride Hydrate
8,(주)셀트리온제약,가네진정,오로트산카르니틴/항독성간장엑스/아데닌염산염/피리독신염산염/리보플라빈/시아노코발라민100배산,"크로스카르멜로오스나트륨,오파그로스클리어(97W19196),미결정셀룰로오스,초코렛트미크론,오파드라이200흰색(200F280000),오파드라이II빨강(85F35210),콜로이드성이산화규소,스테아르산마그네슘,초코렛분말향",2016-01-28,제조,타원형,17.4,9.3,,Carnitine Orotate/Antitoxic Liver Extract/Adenine Hydrochloride/Pyridoxine Hydrochloride/Riboflavin/Cyanocobalamin Powder 1%
9,주식회사 더유제약,가네치온정100밀리그램(글루타티온(환원형)),글루타티온(환원형),"라우릴황산나트륨,미결정셀룰로오스,유당수화물,젤라틴,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,백당,콜로이드성이산화규소,카르복시메틸셀룰로오스칼슘,경질무수규산,탤크,아라비아고무,침강탄산칼슘,히드록시프로필셀룰로오스",2020-08-04,제조,원형,9.2,9.2,,Glutathione (Reduced)
